City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Rikitea,PF,2021-05-23 20:18:40,-23.1203,-134.9692,74.32,68,35,3.89
68,Padang,ID,2021-05-23 20:18:40,-0.9492,100.3543,78.26,85,74,2.53
69,Moron,AR,2021-05-23 20:16:35,-34.6534,-58.6198,59.02,68,100,5.99
70,Provideniya,RU,2021-05-23 20:18:40,64.3833,-173.3,33.91,75,75,15.66
71,Burnie,AU,2021-05-23 20:18:41,-41.0667,145.9167,49.95,86,96,9.8
72,Norman Wells,CA,2021-05-23 20:18:41,65.282,-126.8329,50.04,93,90,10.36
73,Carmen,MX,2021-05-23 20:14:51,18.6333,-91.8333,87.84,66,75,3.44
74,San Cristobal,VE,2021-05-23 20:18:41,7.7669,-72.225,82.58,60,98,5.19
75,Roebourne,AU,2021-05-23 20:18:42,-20.7833,117.1333,72.5,58,80,9.53
76,Butaritari,KI,2021-05-23 20:15:15,3.0707,172.7902,82.8,77,45,16.73
77,Manzhouli,CN,2021-05-23 20:18:42,49.6,117.4333,35.78,66,41,20.33
78,Atuona,PF,2021-05-23 20:15:14,-9.8,-139.0333,79.61,80,24,19.44
79,Juneau,US,2021-05-23 20:18:43,58.3019,-134.4197,47.84,94,90,1.28
80,Haines Junction,CA,2021-05-23 20:18:43,60.7522,-137.5108,44.55,76,100,6.91
81,Humboldt,US,2021-05-23 20:18:43,40.6665,-123.9178,66.67,41,4,8.93
82,Clyde River,CA,2021-05-23 20:18:44,70.4692,-68.5914,21.43,86,90,13.8
83,Ponta Do Sol,PT,2021-05-23 20:18:44,32.6667,-17.1,65.03,68,91,9.24
84,Taoudenni,ML,2021-05-23 20:18:44,22.6783,-3.9836,103.57,12,0,4.18
85,Saskylakh,RU,2021-05-23 20:18:45,71.9167,114.0833,36.91,89,100,15.23
86,Mandalgovi,MN,2021-05-23 20:18:45,45.7625,106.2708,35.29,52,14,12.15
87,Kondoa,TZ,2021-05-23 20:18:45,-4.9,35.7833,56.57,90,0,2.46
88,Lazo,RU,2021-05-23 20:18:46,43.3817,133.9014,51.8,97,100,3.42
89,Praia Da Vitoria,PT,2021-05-23 20:18:46,38.7333,-27.0667,65.75,59,20,6.93
90,Seymchan,RU,2021-05-23 20:18:46,62.8833,152.4333,46.9,58,16,2.35
91,Sao Miguel Do Araguaia,BR,2021-05-23 20:18:46,-13.275,-50.1628,89.37,42,75,1.66
92,Husavik,IS,2021-05-23 20:18:47,66.0449,-17.3389,40.91,98,100,9.24
93,Jutai,BR,2021-05-23 20:18:47,-5.1833,-68.9,88.3,59,17,3.8
94,Vagamo,NO,2021-05-23 20:18:47,61.8751,9.0967,46.27,92,99,4.32
95,Arraial Do Cabo,BR,2021-05-23 20:18:48,-22.9661,-42.0278,78.76,73,0,2.3
96,Aykhal,RU,2021-05-23 20:18:48,66.0,111.5,35.08,70,36,7.94
97,Ocampo,MX,2021-05-23 20:18:48,21.65,-101.5,80.28,23,4,3.2
98,Euclides Da Cunha,BR,2021-05-23 20:18:49,-10.5075,-39.0158,78.42,50,10,5.73
99,Vostok,RU,2021-05-23 20:18:49,46.4856,135.8833,50.59,71,99,4.29
100,Hofn,IS,2021-05-23 20:18:50,64.2539,-15.2082,43.03,77,87,15.77
101,Kailua,US,2021-05-23 20:18:50,21.4022,-157.7394,82.08,78,90,10.36
102,Tolaga Bay,NZ,2021-05-23 20:18:50,-38.3667,178.3,55.96,91,100,23.87
103,Zhezkazgan,KZ,2021-05-23 20:18:50,47.8043,67.7144,69.96,32,1,14.36
104,Karla,EE,2021-05-23 20:18:51,59.3723,24.9275,49.96,81,0,12.66
105,Mandali,IQ,2021-05-23 20:18:51,33.7499,45.5541,81.01,21,0,7.45
106,Reading,GB,2021-05-23 20:14:21,51.4562,-0.9711,51.89,87,100,5.01
107,Hilo,US,2021-05-23 20:16:18,19.7297,-155.09,81.81,76,20,9.22
108,Esperance,AU,2021-05-23 20:18:52,-33.8667,121.9,54.16,69,99,24.85
109,Cooma,AU,2021-05-23 20:18:52,-36.2333,149.1333,33.57,97,90,3.47
110,Castro,BR,2021-05-23 20:18:53,-24.7911,-50.0119,60.1,54,4,10.11
111,New Norfolk,AU,2021-05-23 20:18:53,-42.7826,147.0587,48.76,83,100,3.18
112,Hithadhoo,MV,2021-05-23 20:18:53,-0.6,73.0833,83.75,73,100,10.36
113,Laguna,US,2021-05-23 20:16:38,38.421,-121.4238,78.46,40,1,4.0
114,Avarua,CK,2021-05-23 20:15:15,-21.2078,-159.775,82.45,78,40,13.8
115,Carnarvon,AU,2021-05-23 20:18:54,-24.8667,113.6333,57.27,100,55,4.61
116,Altagracia De Orituco,VE,2021-05-23 20:18:54,9.8601,-66.3814,85.14,60,96,5.95
117,Uren,RU,2021-05-23 20:18:55,57.4552,45.7852,56.1,91,100,3.15
118,Narsaq,GL,2021-05-23 20:17:06,60.9167,-46.05,43.02,63,100,4.43
119,East London,ZA,2021-05-23 20:18:55,-33.0153,27.9116,63.25,49,96,7.43
120,Hasaki,JP,2021-05-23 20:18:55,35.7333,140.8333,55.8,86,82,4.29
121,Lompoc,US,2021-05-23 20:18:56,34.6391,-120.4579,74.7,64,1,14.97
122,Touros,BR,2021-05-23 20:18:56,-5.1989,-35.4608,81.5,78,4,15.17
123,Sitka,US,2021-05-23 20:18:56,57.0531,-135.33,48.09,76,75,5.75
124,Ancud,CL,2021-05-23 20:18:57,-41.8697,-73.8203,58.23,96,100,16.06
125,Santa Rosa,PH,2021-05-23 20:18:57,14.3122,121.1114,82.9,87,1,4.12
126,Northam,GB,2021-05-23 20:18:57,51.0333,-4.2167,49.66,89,86,15.41
127,Dongsheng,CN,2021-05-23 20:18:58,39.8161,109.9776,45.63,20,0,10.98
128,Sakakah,SA,2021-05-23 20:18:58,29.9697,40.2064,81.97,20,0,10.18
129,Dunedin,NZ,2021-05-23 20:14:32,-45.8742,170.5036,48.79,72,95,8.01
130,Hambantota,LK,2021-05-23 20:18:59,6.1241,81.1185,81.48,82,96,16.84
131,Hamilton,US,2021-05-23 20:18:59,39.1834,-84.5333,85.23,58,75,3.0
132,Chase,CA,2021-05-23 20:18:59,50.8165,-119.6857,82.38,25,70,3.56
133,Kyabe,TD,2021-05-23 20:19:00,9.4515,18.9449,87.28,44,88,5.79
134,Port Elizabeth,ZA,2021-05-23 20:19:00,-33.918,25.5701,50.29,76,40,3.44
135,Landskrona,SE,2021-05-23 20:19:00,55.8708,12.8302,50.95,71,8,12.59
136,Fayaoue,NC,2021-05-23 20:19:01,-20.65,166.5333,73.2,64,58,11.81
137,Tralee,IE,2021-05-23 20:19:01,52.2704,-9.7026,45.1,88,93,7.67
138,Puerto Ayora,EC,2021-05-23 20:19:02,-0.7393,-90.3518,82.36,82,51,8.99
139,Tomatlan,MX,2021-05-23 20:19:02,19.9333,-105.25,97.5,27,29,10.65
140,Geraldton,AU,2021-05-23 20:19:02,-28.7667,114.6,63.01,62,75,22.28
141,Yumen,CN,2021-05-23 20:19:03,40.2833,97.2,52.95,18,0,8.01
142,Srednekolymsk,RU,2021-05-23 20:19:03,67.45,153.6833,47.39,49,21,8.43
143,Batagay,RU,2021-05-23 20:19:03,67.6333,134.6333,42.37,43,81,4.27
144,San Policarpo,PH,2021-05-23 20:19:04,12.1791,125.5072,81.05,80,8,2.42
145,Anamur,TR,2021-05-23 20:15:06,36.0751,32.8369,68.02,50,4,8.99
146,Taybad,IR,2021-05-23 20:19:04,34.74,60.7756,75.99,15,32,5.5
147,Tuatapere,NZ,2021-05-23 20:19:05,-46.1333,167.6833,41.94,89,47,3.71
148,Genhe,CN,2021-05-23 20:15:17,50.7833,121.5167,34.07,97,100,5.44
149,Asau,RO,2021-05-23 20:19:05,46.4333,26.4,61.95,78,80,4.14
150,Torbay,CA,2021-05-23 20:19:06,47.6666,-52.7314,53.67,89,90,27.63
151,Tiksi,RU,2021-05-23 20:19:06,71.6872,128.8694,28.24,79,59,8.81
152,San Quintin,MX,2021-05-23 20:19:06,30.4833,-115.95,67.5,51,0,16.13
153,Savonlinna,FI,2021-05-23 20:19:07,61.8699,28.88,50.05,100,90,10.36
154,Mitsamiouli,KM,2021-05-23 20:19:07,-11.3847,43.2844,78.71,65,17,11.68
155,Palmer,US,2021-05-23 20:19:07,42.1584,-72.3287,86.68,57,75,1.99
156,Taber,CA,2021-05-23 20:14:15,49.8167,-112.1518,42.84,93,100,2.08
157,Khatanga,RU,2021-05-23 20:19:08,71.9667,102.5,35.22,93,100,6.42
158,Kaitangata,NZ,2021-05-23 20:19:08,-46.2817,169.8464,46.92,83,59,4.25
159,Cidreira,BR,2021-05-23 20:19:09,-30.1811,-50.2056,58.77,68,36,26.31
160,Sanmenxia,CN,2021-05-23 20:19:09,34.7747,111.1814,59.72,38,47,3.06
161,College,US,2021-05-23 20:19:09,64.8569,-147.8028,51.1,54,75,6.91
162,Muroto,JP,2021-05-23 20:19:10,33.2833,134.15,69.53,70,99,6.73
163,Oktyabrskoye,RU,2021-05-23 20:19:10,43.0645,44.7417,64.35,90,98,4.05
164,Winnemucca,US,2021-05-23 20:19:10,40.973,-117.7357,53.65,45,75,18.16
165,Iqaluit,CA,2021-05-23 20:16:38,63.7506,-68.5145,20.93,67,75,23.0
166,Mae Chan,TH,2021-05-23 20:19:11,20.1467,99.8526,80.78,74,100,1.3
167,Portland,US,2021-05-23 20:15:13,45.5234,-122.6762,60.28,80,90,1.01
168,Bonavista,CA,2021-05-23 20:19:11,48.6499,-53.1147,50.11,97,100,6.78
169,Cartagena,CO,2021-05-23 20:19:11,10.3997,-75.5144,87.42,74,40,11.5
170,Daru,PG,2021-05-23 20:19:12,-9.0763,143.2092,77.7,79,77,13.65
171,Bambous Virieux,MU,2021-05-23 20:19:12,-20.3428,57.7575,70.21,80,51,12.21
172,Lebu,CL,2021-05-23 20:19:12,-37.6167,-73.65,54.41,74,100,3.67
