City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Severobaykalsk,RU,55.65,109.3167,51.39,68,16,2.57,few clouds
80,Broken Hill,AU,-31.95,141.4333,51.51,93,40,8.05,scattered clouds
81,Jiwani,PK,25.05,61.7417,84.02,85,10,12.75,clear sky
82,Cherskiy,RU,68.75,161.3,68.45,25,61,8.3,broken clouds
83,Inuvik,CA,68.3499,-133.7218,49.06,81,90,5.75,light rain
84,Shingu,JP,33.7333,135.9833,74.39,98,100,13.24,overcast clouds
85,Mombetsu,JP,44.3525,143.3525,61.61,68,100,20.04,moderate rain
86,Yellowknife,CA,62.456,-114.3525,64.92,55,75,14.97,light rain
87,Pasighat,IN,28.0667,95.3333,76.41,90,77,1.07,broken clouds
88,Bluff,NZ,-46.6,168.3333,49.8,79,77,13.82,broken clouds
89,Esperance,AU,-33.8667,121.9,51.64,79,0,10.76,clear sky
90,Waddan,LY,29.1614,16.139,80.08,37,42,11.5,scattered clouds
91,Cayenne,GF,4.9333,-52.3333,81.09,85,40,5.01,scattered clouds
92,Namibe,AO,-15.1961,12.1522,70.57,76,14,7.83,few clouds
93,Thompson,CA,55.7435,-97.8558,60.96,44,90,3.44,overcast clouds
94,Kodiak,US,57.79,-152.4072,53.11,66,1,10.36,clear sky
95,Leninsk,RU,48.7119,45.1994,57.06,90,100,8.43,overcast clouds
96,Grand-Santi,GF,4.25,-54.3833,73.58,98,52,2.13,broken clouds
97,Ternate,ID,0.8,127.4,81.82,76,98,1.03,overcast clouds
98,Mitchell,US,43.7094,-98.0298,90.1,25,1,5.99,clear sky
99,Malacatepec,MX,18.9333,-98.3,67.41,63,83,10.8,broken clouds
100,Oistins,BB,13.0667,-59.5333,80.69,65,40,18.41,scattered clouds
101,Tchaourou,BJ,8.8865,2.5975,75.85,88,20,6.24,light rain
102,Broome,US,42.2506,-75.833,68.9,93,90,4.0,light rain
103,Maltahohe,NA,-24.8333,16.9833,47.08,61,0,10.45,clear sky
104,Gornopravdinsk,RU,60.05,69.9,36.05,75,37,9.91,scattered clouds
105,Geraldton,AU,-28.7667,114.6,48.61,93,0,10.27,clear sky
106,Prado,BR,-17.3411,-39.2208,73.4,86,86,6.8,overcast clouds
107,Eskil,TR,38.4017,33.4131,54.34,62,6,10.42,clear sky
108,Ilulissat,GL,69.2167,-51.1,37.42,75,93,10.36,overcast clouds
109,Dingle,PH,10.9995,122.6711,82.81,80,100,4.76,overcast clouds
110,Murmashi,RU,68.8154,32.8115,54.01,71,0,2.24,clear sky
111,Maldonado,UY,-34.6667,-54.9167,58.23,75,73,8.68,broken clouds
112,Yarada,IN,17.65,83.2667,80.92,94,20,10.58,mist
113,Coffs Harbour,AU,-30.3,153.1333,66.16,59,0,6.91,clear sky
114,Teahupoo,PF,-17.8333,-149.2667,76.96,82,48,16.4,light rain
115,Adrar,MR,20.5022,-10.0711,88.9,24,96,25.99,overcast clouds
116,Poboru,RO,44.6667,24.5,59.13,80,100,4.99,overcast clouds
117,Hithadhoo,MV,-0.6,73.0833,83.64,70,100,17.36,overcast clouds
118,Imbituba,BR,-28.24,-48.6703,62.49,90,3,6.4,clear sky
